tart_WorldTrap_3= 3
tart_WorldTrap_A= A
tart_WorldTrap_Available= Available
tart_WorldTrap_Ball= Ball
tart_WorldTrap_Booster= Booster
tart_WorldTrap_Bumper= Bumper
tart_WorldTrap_Cloud= Cloud
tart_WorldTrap_Cloud_Quote= "Cloud"
tart_WorldTrap_Double= Double
tart_WorldTrap_Duplicate= Duplicate
tart_WorldTrap_ESCAPE= ESCAPE
tart_WorldTrap_Feather= Feather
tart_WorldTrap_Fish= Fish
tart_WorldTrap_For= For
tart_WorldTrap_Fun= Fun
tart_WorldTrap_HELP= "HELP"
tart_WorldTrap_Ice= Ice
tart_WorldTrap_info= info
tart_WorldTrap_Interact= Interact
tart_WorldTrap_MAKE= MAKE
tart_WorldTrap_Max= Max
tart_WorldTrap_more= more
tart_WorldTrap_No= No
tart_WorldTrap_Pink= Pink
tart_WorldTrap_Press= Press
tart_WorldTrap_Probably= Probably
tart_WorldTrap_Puffer= Puffer
tart_WorldTrap_Red= Red
tart_WorldTrap_Refill= Refill
tart_WorldTrap_return= return
tart_WorldTrap_Reveal= "Reveal
tart_WorldTrap_Ruin= Ruin
tart_WorldTrap_Rules= Rules
tart_WorldTrap_Rules_Quote= Rules"
tart_WorldTrap_SACRIFICE= SACRIFICE
tart_WorldTrap_Seeker= Seeker
tart_WorldTrap_Summon= Summon
tart_WorldTrap_Summons= Summons
tart_WorldTrap_Summons_Quote= Summons"
tart_WorldTrap_The= The
tart_WorldTrap_TO_Upper= TO
tart_WorldTrap_to_Lower= to
tart_WorldTrap_Try= Try
tart_WorldTrap_Type= Type
tart_WorldTrap_WARNING= WARNING:
tart_WorldTrap_Will= Will
